,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
154,Liberty Puzzles Botticelli Primavera Ecru Puzzles Amedeo Modigliani Red Scarf Wooden Jigsaw Puzzle,Ecru,Liberty,512.0,100.0,Average,A-Easy,2.0,2.0,1.0
155,"Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy",Liberty,,469.0,478.0,A-Easy,A-Easy,2.0,1.0,1.0
156,Liberty Puzzles Brad Gorman Vines Amongst the Rockies Ecru Puzzles Ross Dickinson Valley Farms,,,361.0,,,,1.0,2.0,
157,"Liberty Puzzles Bryce Canyon National Park Liberty Puzzles Ivar Gull Wisby the City of Ruins and Roses, Sweden",,,361.0,,,,1.0,2.0,
158,Liberty Puzzles Celebration Ecru Puzzles Awa Tsireh Animal Designs,Ecru,Liberty,408.0,105.0,Average,A-Easy,2.0,2.0,1.0
159,Liberty Puzzles Childe Hassam Geraniums Ecru Puzzles Aaron Wolf Siege of Cranes,,,361.0,,,,1.0,2.0,
160,Liberty Puzzles Claude Monet Poppies Near Vetheuil Liberty Puzzles Claude Monet Landscape: The Parc Monceau,Liberty,,433.0,507.0,Average,Average,2.0,2.0,2.0
161,Liberty Puzzles Claude Monet Sunrise ,Liberty,,517.0,,Hard,,1.0,3.0,
162,Liberty Puzzles Claude Monet The Artists Garden at Vetheuil Liberty Puzzles Francis Farmar August In Weymouth,,,361.0,,,,1.0,2.0,
163,Liberty Puzzles Claude Monet The Parc Monceau ,Liberty,,507.0,,Average,,1.0,2.0,
164,Liberty Puzzles Colorado United Airlines Ecru Puzzles Jethro Buck Forest,Ecru,Liberty,534.0,285.0,Average,Average,2.0,2.0,2.0
165,"Liberty Puzzles Cranes, Cycads and Wisteria Liberty Puzzles Ando Hiroshige Fudo Falls, Oji",Liberty,,486.0,599.0,Hard,Average,2.0,3.0,2.0
166,Liberty Puzzles Cupid Garden Party Liberty Puzzles Phil Lewis Magpie,Liberty,,236.0,155.0,Average,Average,2.0,2.0,2.0
167,Liberty Puzzles Damian Elwes Matisses Studio Ecru Puzzles Erin Hanson Layers Of Afternoon,Ecru,Liberty,483.0,287.0,Hard,Hard,2.0,3.0,3.0
168,Liberty Puzzles Daria Hlazatova Leopard Liberty Puzzles The Ladies Home Journal All-Story Number,,,361.0,,,,1.0,2.0,
169,Liberty Puzzles David Newton Sunset: Pool of London Liberty Puzzles Damian Elwes Picassos Studio,Liberty,,507.0,527.0,Average,Average,2.0,2.0,2.0
170,Liberty Puzzles Ditz Patchwork-Birds Liberty Puzzles A Resounding Success,Liberty,,562.0,513.0,A-Easy,Average,2.0,1.0,2.0
171,Liberty Puzzles Donna Schuster In The Garden Liberty Puzzles Centenario,Liberty,,378.0,477.0,Average,Hard,2.0,2.0,3.0
172,Liberty Puzzles Dr. Seuss Every Girl Should Have A Unicorn Ecru Puzzles Grant Haffner Sunset on Old Montauk Highway,Ecru,Liberty,539.0,282.0,Average,Average,2.0,2.0,2.0
173,Liberty Puzzles Dr. Seuss Green Cat with Lights Ecru Puzzles Mystery Puzzle #14,Ecru,Liberty,584.0,398.0,Average,Average,2.0,2.0,2.0
174,Liberty Puzzles Dr. Seuss I Dreamed I Was a Doorman at the Hotel Del Coronado Liberty Puzzles Butterfly Golden Pumpkin,Liberty,,654.0,309.0,Hard,A-Easy,2.0,3.0,1.0
175,Liberty Puzzles Dr. Seuss Incidental Music for a New Year&#39;s Eve Party Ecru Puzzles Kristian Adam Pizza Boyz,Ecru,Liberty,616.0,387.0,Average,Average,2.0,2.0,2.0
176,Liberty Puzzles Dr. Seuss Joseph Katz and His Coat of Many Colors Liberty Puzzles Harrison Weir The Dogs Dinner Party,Liberty,,418.0,447.0,Average,Average,2.0,2.0,2.0
177,Liberty Puzzles Dr. Seuss Tahitian Landscape Ecru Puzzles Angie Rees Moolin Rouge,,,361.0,,,,1.0,2.0,
178,Liberty Puzzles Dr. Seuss Worm Burning Bright in the Forest in the Night Ecru Puzzles Henri Edmond Cross La Plage De Saint-Claire,,,361.0,,,,1.0,2.0,
179,Liberty Puzzles Duke Beardsley Close Range ,Liberty,,613.0,,Average,,1.0,2.0,
180,Liberty Puzzles Elena Khmeleva Christmas Tree ,Liberty,,755.0,,Hard,,1.0,3.0,
181,Liberty Puzzles Erin Huybrechts Davis Woodland Wheel Liberty Puzzles Karen Williams-Brusubardis Yanapuma,Liberty,,501.0,501.0,Average,Really-Hard,2.0,2.0,4.0
